,Name,gender_wiki,birth_date_wiki,nationality_wiki,gender_dbpedia,birth_date_dbpedia,nationality_dbpedia,gender_gkg,birth_date_gkg,nationality_gkg,VoxCeleb_ID,gender,birth_year,unit,height_raw,height
68,Allyson Felix,female,1985-11-18,The-United-States-of-America,female,1985-11-18,american,female,1985-11-18,The-United-States-of-America,id00359,female,1985.0,http://www.wikidata.org/entity/Q174728,168.0,168.0
69,John Isner,male,1985-04-26,The-United-States-of-America,male,1985-04-26,,male,1985-04-26,The-United-States-of-America,id04215,male,1985.0,http://www.wikidata.org/entity/Q174728,208.0,208.0
70,Rod Stewart,male,1945-01-10,The-United-Kingdom-1,male,1945-01-10,,male,1945-01-10,The-United-Kingdom-1,id07477,male,1945.0,http://www.wikidata.org/entity/Q11573,1.78,178.0
71,Shannon Sharpe,male,1968-06-26,The-United-States-of-America,male,1968-6-26,,male,1968-06-26,The-United-States-of-America,id07974,male,1968.0,http://www.wikidata.org/entity/Q174728,188.0,188.0
72,Kim Kulig,female,1990-04-09,Germany,female,1990-04-09,,female,1990-04-09,Germany,id04800,female,1990.0,http://www.wikidata.org/entity/Q11573,1.76,176.0
73,Tisha Campbell-Martin,female,1968-10-13,The-United-States-of-America,female,1968-10-13,,female,1968-10-13,The-United-States-of-America,id08577,female,1968.0,http://www.wikidata.org/entity/Q11573,1.64,164.0
74,Ryan Cochrane,male,1988-10-29,Canada,male,1983-7-24,http://dbpedia.org/resource/canada,male,1988-10-29,Canada,id07638,male,,http://www.wikidata.org/entity/Q174728,193.0,193.0
75,Paul Scholes,male,1974-11-16,The-United-Kingdom-1,male,1974-11-16,,male,1974-11-16,The-United-Kingdom-1,id06855,male,1974.0,http://www.wikidata.org/entity/Q174728,168.0,168.0
76,Harry Redknapp,male,1947-03-02,The-United-Kingdom-1,male,1947-03-02,,male,1947-03-02,The-United-Kingdom-1,id03351,male,1947.0,http://www.wikidata.org/entity/Q11573,1.8,180.0
77,Jodie Marsh,female,1978-12-23,The-United-Kingdom-1,female,1978-12-23,british,female,1978-12-23,The-United-Kingdom-1,id04153,female,1978.0,http://www.wikidata.org/entity/Q174728,157.0,157.0
78,Malcolm-Jamal Warner,male,1970-08-18,The-United-States-of-America,male,1970-08-18,,male,1970-08-18,The-United-States-of-America,id05451,male,1970.0,http://www.wikidata.org/entity/Q174728,180.0,180.0
79,Carlos Carvalhal,male,1965-12-04,Portugal,male,1965-12-04,,male,1965-12-04,Portugal,id01374,male,1965.0,http://www.wikidata.org/entity/Q174728,178.0,178.0
80,Gary Rowett,male,1974-03-06,The-United-Kingdom-1,male,1974-03-06,,male,1974-03-06,The-United-Kingdom-1,id02981,male,1974.0,http://www.wikidata.org/entity/Q174728,182.0,182.0
81,Christoph Metzelder,male,1980-11-05,Germany,male,1980-11-05,,male,1980-11-05,Germany,id01666,male,1980.0,http://www.wikidata.org/entity/Q174728,193.0,193.0
82,Željko Obradović,male,1960-03-09,Yugoslavia,male,1960-03-09,serbian,male,1960-03-09,Yugoslavia,id09271,male,1960.0,http://www.wikidata.org/entity/Q174728,184.0,184.0
83,Cameron Winklevoss,male,1981-08-21,The-United-States-of-America,male,1981-08-21,http://dbpedia.org/resource/united_states,male,1981-08-21,The-United-States-of-America,id01315,male,1981.0,http://www.wikidata.org/entity/Q174728,193.0,193.0
84,Tyler Winklevoss,male,1981-08-21,The-United-States-of-America,male,1981-08-21,http://dbpedia.org/resource/united_states,male,1981-08-21,The-United-States-of-America,id08730,male,1981.0,http://www.wikidata.org/entity/Q174728,196.0,196.0
85,Steve Cotterill,male,1964-07-20,The-United-Kingdom-1,male,1964-07-20,,male,1964-07-20,The-United-Kingdom-1,id08244,male,1964.0,http://www.wikidata.org/entity/Q174728,185.0,185.0
86,Daniel Sturridge,male,1989-09-01,The-United-Kingdom-1,male,1989-09-01,,male,1989-09-01,The-United-Kingdom-1,id01933,male,1989.0,http://www.wikidata.org/entity/Q174728,183.0,183.0
87,Vince Vaughn,male,1970-03-28,The-United-States-of-America,male,1970-03-28,,male,1970-03-28,The-United-States-of-America,id08904,male,1970.0,http://www.wikidata.org/entity/Q218593,77.0,195.58
88,Ally McCoist,male,1962-09-24,The-United-Kingdom-1,male,1962-09-24,,male,1962-09-24,The-United-Kingdom-1,id00358,male,1962.0,http://www.wikidata.org/entity/Q174728,178.0,178.0
89,Marin Čilić,male,1988-09-28,Croatia,male,1988-09-28,,male,1988-09-28,Croatia,id05641,male,1988.0,http://www.wikidata.org/entity/Q174728,198.0,198.0
90,Adamari López,female,1978-05-18,Puerto-Rico,female,1971-05-18,,female,1978-05-18,Puerto-Rico,id00067,female,,http://www.wikidata.org/entity/Q11573,1.5,150.0
91,Martin ONeill,male,1952-03-01,The-United-Kingdom-1,,,,,,,id05738,,,http://www.wikidata.org/entity/Q174728,178.0,178.0
92,Jerry Bruckheimer,male,1943-09-21,The-United-States-of-America,male,1943-09-21,,male,1943-09-21,The-United-States-of-America,id04015,male,1943.0,http://www.wikidata.org/entity/Q174728,173.0,173.0
93,Angie Everhart,female,1969-09-07,The-United-States-of-America,female,1969-09-07,,female,1969-09-07,The-United-States-of-America,id00591,female,1969.0,http://www.wikidata.org/entity/Q11573,1.78,178.0
94,Munenori Kawasaki,male,1981-06-03,Japan,male,1981-06-03,,male,1981-06-03,Japan,id06269,male,1981.0,http://www.wikidata.org/entity/Q174728,180.0,180.0
95,Ranomi Kromowidjojo,female,1990-08-20,Kingdom-of-the-Netherlands,female,1990-08-20,,female,1990-08-20,Kingdom-of-the-Netherlands,id07218,female,1990.0,http://www.wikidata.org/entity/Q174728,180.0,180.0
96,Dannii Minogue,female,1971-10-20,Australia,female,1971-10-20,,female,1971-10-20,Australia,id01962,female,1971.0,http://www.wikidata.org/entity/Q174728,157.0,157.0
97,Kumar Sangakkara,male,1977-10-27,Sri-Lanka,male,1977-10-27,,male,1977-10-27,Sri-Lanka,id04928,male,1977.0,http://www.wikidata.org/entity/Q174728,178.0,178.0
98,Tom Daley,male,1994-05-21,The-United-Kingdom-1,male,1933-11-15,,male,1994-05-21,The-United-Kingdom-1,id08604,male,,http://www.wikidata.org/entity/Q174728,178.0,178.0
99,Cheryl Cole,female,1983-06-30,The-United-Kingdom-1,,,,female,1983-06-30,The-United-Kingdom-1,id01567,,,http://www.wikidata.org/entity/Q11573,1.6,160.0
100,Owen Farrell,male,1991-09-24,The-United-Kingdom-1,male,1991-9-24,,male,1991-09-24,The-United-Kingdom-1,id06714,male,1991.0,http://www.wikidata.org/entity/Q174728,188.0,188.0
101,Megan Gale,female,1975-08-07,Australia,female,1975-08-07,,female,1975-08-07,Australia,id05915,female,1975.0,http://www.wikidata.org/entity/Q174728,180.0,180.0
102,Raphael Holzdeppe,male,1989-09-28,Denmark,male,1989-09-28,german,male,1989-09-28,Denmark,id07220,male,1989.0,http://www.wikidata.org/entity/Q174728,181.0,181.0
103,Avika Gor,female,1997-06-30,India,female,1997-06-30,indian,female,1997-06-30,India,id00833,female,1997.0,http://www.wikidata.org/entity/Q11573,1.68,168.0
104,Mesut Özil,male,1988-10-15,Turkey-country,male,1988-10-15,,male,1988-10-15,Turkey-country,id05976,male,1988.0,http://www.wikidata.org/entity/Q174728,180.0,180.0
105,James Rodríguez,male,1991-07-12,Colombia,male,1991-07-12,,male,1991-07-12,Colombia,id03770,male,1991.0,http://www.wikidata.org/entity/Q174728,180.0,180.0
106,Senad Lulić,male,1986-01-18,Bosnia-and-Herzegovina,male,1986-01-18,,male,1986-01-18,Bosnia-and-Herzegovina,id07898,male,1986.0,http://www.wikidata.org/entity/Q174728,183.0,183.0
107,Marcel Schmelzer,male,1988-01-22,Germany,male,1988-01-22,,male,1988-01-22,Germany,id05520,male,1988.0,http://www.wikidata.org/entity/Q174728,181.0,181.0
108,Leila Lopes,female,1986-02-26,Angola,female,1959-11-19,,female,1986-02-26,Angola,id05096,female,,http://www.wikidata.org/entity/Q174728,179.0,179.0
109,Arifin Putra,male,1987-05-01,Indonesia,male,1987-05-01,http://dbpedia.org/resource/indonesian_language,male,1987-05-01,Indonesia,id00762,male,1987.0,http://www.wikidata.org/entity/Q11573,1.83,183.0
110,Tarjei Bø,male,1988-07-29,Norway,male,1988-7-29,,male,1988-07-29,Norway,id08423,male,1988.0,http://www.wikidata.org/entity/Q174728,185.0,185.0
111,Jamie Dornan,male,1982-05-01,The-Republic-of-Ireland,male,1982-05-01,,male,1982-05-01,The-Republic-of-Ireland,id03780,male,1982.0,http://www.wikidata.org/entity/Q174728,179.0,179.0
112,Daniel Agger,male,1984-12-12,Denmark,male,1984-12-12,,male,1984-12-12,Denmark,id01915,male,1984.0,http://www.wikidata.org/entity/Q174728,191.0,191.0
113,Mireia Belmonte,female,1990-11-10,Spain,female,1990-11-10,,female,1990-11-10,Spain,id06165,female,1990.0,http://www.wikidata.org/entity/Q174728,171.0,171.0
114,Derrick Rose,male,1988-10-04,The-United-States-of-America,male,1988-10-04,american,male,1988-10-04,The-United-States-of-America,id02151,male,1988.0,http://www.wikidata.org/entity/Q174728,191.0,191.0
115,Star Jones,female,1962-03-24,The-United-States-of-America,female,1962-03-24,,female,1962-03-24,The-United-States-of-America,id08195,female,1962.0,http://www.wikidata.org/entity/Q174728,165.0,165.0
116,Jeanine Pirro,female,1951-06-02,The-United-States-of-America,female,1951-06-02,,female,1951-06-02,The-United-States-of-America,id03942,female,1951.0,http://www.wikidata.org/entity/Q218593,66.0,167.64
117,Jamie Carragher,male,1978-01-28,The-United-Kingdom-1,male,1978-01-28,,male,1978-01-28,The-United-Kingdom-1,id03778,male,1978.0,http://www.wikidata.org/entity/Q174728,185.0,185.0
118,Sugar Ray Leonard,male,1956-05-17,The-United-States-of-America,male,1956-05-17,american,male,1956-05-17,The-United-States-of-America,id08294,male,1956.0,http://www.wikidata.org/entity/Q218593,70.5,179.07
119,Timothy Dalton,male,1946-03-21,The-United-Kingdom-1,male,1944-03-21,british,male,1946-03-21,The-United-Kingdom-1,id08567,male,,http://www.wikidata.org/entity/Q218593,74.0,187.96
120,Sami Khedira,male,1987-04-04,Germany,male,1987-04-04,,male,1987-04-04,Germany,id07733,male,1987.0,http://www.wikidata.org/entity/Q174728,189.0,189.0
121,David Ginola,male,1967-01-25,France,male,1967-01-25,,male,1967-01-25,France,id02037,male,1967.0,http://www.wikidata.org/entity/Q174728,186.0,186.0
122,Milos Raonic,male,1990-12-27,Canada,male,1990-12-27,,male,1990-12-27,Canada,id06140,male,1990.0,http://www.wikidata.org/entity/Q174728,196.0,196.0
123,José Callejón,male,1987-02-11,Spain,male,1987-02-11,,male,1987-02-11,Spain,id04350,male,1987.0,http://www.wikidata.org/entity/Q174728,178.0,178.0
124,Robert Pirès,male,1973-10-29,France,male,1973-10-29,,male,1973-10-29,France,id07427,male,1973.0,http://www.wikidata.org/entity/Q174728,185.0,185.0
125,Valérie Lemercier,female,1964-03-09,France,female,1964-03-09,,female,1964-03-09,France,id08801,female,1964.0,http://www.wikidata.org/entity/Q174728,177.0,177.0
126,Brian Tee,male,1977-03-15,The-United-States-of-America,male,1977-03-15,,male,1977-03-15,The-United-States-of-America,id01212,male,1977.0,http://www.wikidata.org/entity/Q11573,1.83,183.0
127,Valerie Adams,female,1984-10-06,New-Zealand,female,1984-10-06,http://dbpedia.org/resource/list_of_new_zealand_records_in_athletics,female,1984-10-06,New-Zealand,id08790,female,1984.0,http://www.wikidata.org/entity/Q174728,193.0,193.0
128,Dario Cologna,male,1986-03-11,Switzerland,male,1986-03-11,,male,1986-03-11,Switzerland,id01985,male,1986.0,http://www.wikidata.org/entity/Q174728,178.0,178.0
129,Scoop Jardine,male,1988-08-09,The-United-States-of-America,male,1988-08-09,american,male,1988-08-09,The-United-States-of-America,id07824,male,1988.0,http://www.wikidata.org/entity/Q218593,74.0,187.96
130,Jack Wilshere,male,1992-01-01,The-United-Kingdom-1,male,1992-01-01,,male,1992-01-01,The-United-Kingdom-1,id03694,male,1992.0,http://www.wikidata.org/entity/Q174728,172.0,172.0
131,Margareta Kozuch,female,1986-10-30,Poland,female,1986-10-30,german,female,1986-10-30,Poland,id05577,female,1986.0,http://www.wikidata.org/entity/Q174728,186.0,186.0
132,Sascha Riether,male,1983-03-23,Germany,male,1983-03-23,,male,1983-03-23,Germany,id07801,male,1983.0,http://www.wikidata.org/entity/Q174728,174.0,174.0
133,Alberto Núñez Feijóo,male,1961-09-10,Spain,male,1961-09-10,spanish,male,1961-09-10,Spain,id00202,male,1961.0,http://www.wikidata.org/entity/Q11573,1.79,179.0
134,Stéphane Lambiel,male,1985-04-02,Switzerland,male,1985-4-2,,male,1985-04-02,Switzerland,id08288,male,1985.0,http://www.wikidata.org/entity/Q174728,175.0,175.0
135,Rick Pitino,male,1952-09-18,The-United-States-of-America,male,1952-09-18,,male,1952-09-18,The-United-States-of-America,id07358,male,1952.0,http://www.wikidata.org/entity/Q174728,183.0,183.0
136,Catalina Robayo,female,1989-05-12,Colombia,female,1989-05-12,,female,1989-05-12,Colombia,id01455,female,1989.0,http://www.wikidata.org/entity/Q174728,174.0,174.0
137,Oliver Bierhoff,male,1968-05-01,Germany,male,1968-05-01,,male,1968-05-01,Germany,id06661,male,1968.0,http://www.wikidata.org/entity/Q174728,191.0,191.0
138,Kelly Stables,female,1978-01-26,The-United-States-of-America,female,1978-01-26,,female,1978-01-26,The-United-States-of-America,id04706,female,1978.0,http://www.wikidata.org/entity/Q174728,150.0,150.0
139,James Cameron,male,1954-08-16,Canada,male,1938-09-11,,male,1954-08-16,Canada,id03750,male,,http://www.wikidata.org/entity/Q174728,188.0,188.0
140,Andie MacDowell,female,1958-04-21,The-United-States-of-America,female,1958-04-21,,female,1958-04-21,The-United-States-of-America,id00472,female,1958.0,http://www.wikidata.org/entity/Q11573,1.73,173.0
141,Kris Humphries,male,1985-02-06,The-United-States-of-America,male,1985-02-06,american,male,1985-02-06,The-United-States-of-America,id04885,male,1985.0,http://www.wikidata.org/entity/Q174728,207.0,207.0
142,Justin Bieber,male,1994-03-01,Canada,male,1994-03-01,,male,1994-03-01,Canada,id04478,male,1994.0,http://www.wikidata.org/entity/Q11573,1.75,175.0
143,Tony Pulis,male,1958-01-16,The-United-Kingdom-1,male,1958-01-16,,male,1958-01-16,The-United-Kingdom-1,id08658,male,1958.0,http://www.wikidata.org/entity/Q11573,1.78,178.0
144,James Dasaolu,male,1987-09-05,The-United-Kingdom-1,male,1987-09-05,british,male,1987-09-05,The-United-Kingdom-1,id03753,male,1987.0,http://www.wikidata.org/entity/Q174728,186.0,186.0
145,Eric Hosmer,male,1989-10-24,The-United-States-of-America,male,1989-10-24,,male,1989-10-24,The-United-States-of-America,id02580,male,1989.0,http://www.wikidata.org/entity/Q174728,193.0,193.0
146,Ishe Smith,male,1978-07-22,The-United-States-of-America,male,1978-07-22,american,male,1978-07-22,The-United-States-of-America,id03628,male,1978.0,http://www.wikidata.org/entity/Q174728,178.0,178.0
